code,system
1A81.00,readv2
1A82.00,readv2
585C.00,readv2
9OH9.00,readv2
9OHZ.00,readv2
1A84.00,readv2
5861.11,readv2
R138000,readv2
X9110,oxmis
537..00,readv2
537Z.00,readv2
537..11,readv2
5371.00,readv2
5374.00,readv2
6862.11,readv2
7P0F000,readv2
7P0F200,readv2
5372.00,readv2
5373.00,readv2
6862000,readv2
6865.00,readv2
R138.00,readv2
X9111,oxmis
X9111AB,oxmis
5376.00,readv2
9Oq8.00,readv2
54L3.00,readv2
56B1.00,readv2
54L3.11,readv2
54L3.12,readv2
5861.00,readv2
7P0F100,readv2
6862.00,readv2
ZV76100,readv2
6862100,readv2
6862Z00,readv2
7P0F.00,readv2
7P0Fy00,readv2
7P0Fz00,readv2
R138z00,readv2
8HT8.00,readv2
8HTI.00,readv2
9N0A.00,readv2
9N1y900,readv2
9Np2.00,readv2
L0010CB,oxmis
L0010GB,oxmis
Y060 E,oxmis
Y600 EN,oxmis
Y1000HB,oxmis